accuracy,f1,precision,recall,auc,num_subjects,num_positive,num_negative,data_type,fold,model
0.8863636363636364,0.8807697225418744,0.8767045454545456,0.8863636363636364,0.8615384615384616,44.0,5.0,39.0,deep,1,xgboost_CFS
0.9090909090909091,0.8988636363636363,0.8972653362897266,0.9090909090909091,0.9692307692307692,44.0,5.0,39.0,deep,2,xgboost_CFS
0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.891025641025641,43.0,4.0,39.0,deep,3,xgboost_CFS
0.8372093023255814,0.843523608174771,0.8508275717578043,0.8372093023255814,0.8947368421052632,43.0,5.0,38.0,deep,4,xgboost_CFS
0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.868421052631579,43.0,5.0,38.0,deep,5,xgboost_CFS
0.8723404255319149,0.8632589517384537,0.859371833839919,0.8723404255319149,0.8607142857142858,47.0,7.0,40.0,rp,1,xgboost_CFS
0.8085106382978723,0.8023276959447172,0.7969209479328837,0.8085106382978723,0.6107142857142857,47.0,7.0,40.0,rp,2,xgboost_CFS
0.8043478260869565,0.7966622749231446,0.789607635206787,0.8043478260869565,0.7416666666666667,46.0,6.0,40.0,rp,3,xgboost_CFS
0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.525,46.0,6.0,40.0,rp,4,xgboost_CFS
0.8043478260869565,0.7558931377684652,0.7129446640316206,0.8043478260869565,0.6373626373626373,46.0,7.0,39.0,rp,5,xgboost_CFS
0.9361702127659575,0.9286197012421057,0.9406234537357744,0.9361702127659575,0.9714285714285714,47.0,7.0,40.0,reg,1,xgboost_CFS
0.8478260869565217,0.7979539641943734,0.7536231884057972,0.8478260869565217,0.775,46.0,6.0,40.0,reg,2,xgboost_CFS
0.9347826086956522,0.9250916710319538,0.9393326592517696,0.9347826086956522,0.9166666666666666,46.0,6.0,40.0,reg,3,xgboost_CFS
0.8478260869565217,0.842936370179078,0.8391304347826087,0.8478260869565217,0.8827838827838828,46.0,7.0,39.0,reg,4,xgboost_CFS
0.8913043478260869,0.8878116929850556,0.8856884057971015,0.8913043478260869,0.9157509157509157,46.0,7.0,39.0,reg,5,xgboost_CFS
0.925,0.927324913892078,0.9313852813852813,0.925,0.9411764705882353,40.0,6.0,34.0,fimo,1,xgboost_PCA
0.9,0.9,0.9,0.9,0.946078431372549,40.0,6.0,34.0,fimo,2,xgboost_PCA
0.825,0.8195752009184846,0.8154411764705882,0.825,0.8961038961038961,40.0,7.0,33.0,fimo,3,xgboost_PCA
0.95,0.95,0.95,0.95,0.9956709956709957,40.0,7.0,33.0,fimo,4,xgboost_PCA
0.925,0.926923076923077,0.93046875,0.925,0.9696969696969697,40.0,7.0,33.0,fimo,5,xgboost_PCA
0.7954545454545454,0.7853855005753739,0.7755681818181818,0.7954545454545454,0.8461538461538461,44.0,5.0,39.0,deep,1,xgboost_PCA
0.8863636363636364,0.8807697225418744,0.8767045454545456,0.8863636363636364,0.9333333333333333,44.0,5.0,39.0,deep,2,xgboost_PCA
0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9487179487179488,43.0,4.0,39.0,deep,3,xgboost_PCA
0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.9421052631578948,43.0,5.0,38.0,deep,4,xgboost_PCA
0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9157894736842105,43.0,5.0,38.0,deep,5,xgboost_PCA
0.6595744680851063,0.6968372627947096,0.748820641186098,0.6595744680851063,0.48571428571428565,47.0,7.0,40.0,rp,1,xgboost_PCA
0.6595744680851063,0.7025574897915323,0.774468085106383,0.6595744680851063,0.7571428571428571,47.0,7.0,40.0,rp,2,xgboost_PCA
0.6521739130434783,0.7063805759457934,0.8070652173913043,0.6521739130434783,0.6916666666666667,46.0,6.0,40.0,rp,3,xgboost_PCA
0.6086956521739131,0.6580493537015277,0.7161125319693094,0.6086956521739131,0.4291666666666667,46.0,6.0,40.0,rp,4,xgboost_PCA
0.7608695652173914,0.7841446976583805,0.8237425404944586,0.7608695652173914,0.7472527472527473,46.0,7.0,39.0,rp,5,xgboost_PCA
0.8936170212765957,0.8810328354035096,0.8835972290945077,0.8936170212765957,0.9678571428571429,47.0,7.0,40.0,reg,1,xgboost_PCA
0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8541666666666667,46.0,6.0,40.0,reg,2,xgboost_PCA
0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9833333333333334,46.0,6.0,40.0,reg,3,xgboost_PCA
0.8913043478260869,0.8878116929850556,0.8856884057971015,0.8913043478260869,0.8681318681318682,46.0,7.0,39.0,reg,4,xgboost_PCA
0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9597069597069596,46.0,7.0,39.0,reg,5,xgboost_PCA
