comparison,group1,group2,metric,t_statistic,p_value,significant,effect_size,mean_diff,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n,model_type,feature_selection
model_type,RF,xgboost,recall,0.11075999436279174,0.9120949352340746,False,0.024766687658269584,0.0019945506916032585,0.8403331426447158,0.8383385919531126,0.07575738425292054,0.08504200407768393,40,40,,
model_type,RF,xgboost,auc,0.7720749615632642,0.44261736840356913,False,0.1726412097780996,0.017939103531578793,0.845540710575057,0.8276016070434782,0.08671745096021277,0.11863621951005109,40,40,,
feature_selection,CFS,PCA,accuracy,-2.5763221973154153,0.012328245421831852,True,-0.5760831565138894,-0.04454126333040953,0.8170652356337097,0.8616064989641192,0.09408871382257752,0.05570709813321128,40,40,,
feature_selection,CFS,PCA,f1,-2.782359487011835,0.007153658375144819,True,-0.6221544950799905,-0.051887156537273604,0.8078035168397175,0.8596906733769911,0.10268463765232722,0.05802328746677371,40,40,,
feature_selection,CFS,PCA,precision,-2.779920207242409,0.007216565240474325,True,-0.6216090555419329,-0.05403886510719924,0.8062564976639717,0.8602953627711709,0.10738101948667786,0.05986905183366327,40,40,,
feature_selection,CFS,PCA,recall,-2.5763221973154153,0.012328245421831852,True,-0.5760831565138894,-0.04454126333040953,0.8170652356337097,0.8616064989641192,0.09408871382257752,0.05570709813321128,40,40,,
feature_selection,CFS,PCA,auc,-3.8035001973759783,0.00034933259615893184,True,-0.8504884993766554,-0.08147656887256105,0.7958328743729871,0.8773094432455482,0.12133425249163857,0.06027583120511441,40,40,,
data_type_within_RF_CFS,fimo,deep,accuracy,-3.8905477333607363,0.006600131222934222,True,-2.4605984366050766,-0.07771536571809656,0.7917688122328341,0.8694841779509307,0.0380389454238274,0.02341212810344384,5,5,RF,CFS
data_type_within_RF_CFS,fimo,rp,accuracy,2.7877893159211617,0.027219599185248248,True,1.7631527749987157,0.08588665867491585,0.7917688122328341,0.7058821535579183,0.0380389454238274,0.05743476452346604,5,5,RF,CFS
data_type_within_RF_CFS,fimo,reg,accuracy,-5.40087167576615,0.0006817285085090867,True,-3.4158111691422914,-0.12233188276311524,0.7917688122328341,0.9141006949959494,0.0380389454238274,0.033440108393803784,5,5,RF,CFS
data_type_within_RF_CFS,deep,rp,accuracy,5.898198176274337,0.0016391986228818734,True,3.7303480656156425,0.1636020243930124,0.8694841779509307,0.7058821535579183,0.02341212810344384,0.05743476452346604,5,5,RF,CFS
data_type_within_RF_CFS,deep,reg,accuracy,-2.4439658375543316,0.04373716179881535,True,-1.545699714062553,-0.04461651704501868,0.8694841779509307,0.9141006949959494,0.02341212810344384,0.033440108393803784,5,5,RF,CFS
data_type_within_RF_CFS,rp,reg,accuracy,-7.005530776898939,0.0003095806587024745,True,-4.430686694681909,-0.2082185414380311,0.7058821535579183,0.9141006949959494,0.05743476452346604,0.033440108393803784,5,5,RF,CFS
